word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
pressure;9405;3.66;15.467;1334;581;1255;1605
snitch;9406;3.66;16.489;--;--;--;4981
sorry;9407;3.66;17.567;345;3346;4920;547
stuck;9408;3.66;11.178;915;--;--;822
anti;9409;3.65;15.214;--;1580;--;--
complications;9410;3.65;18.206;--;4935;--;--
disappear;9411;3.65;16.273;--;--;--;1569
snakes;9412;3.65;20.872;--;--;--;4420
lesions;9413;3.65;18.961;--;3603;--;--
bill;9414;3.64;17.700;882;1084;327;1730
blocked;9415;3.64;14.535;3900;--;4818;--
bore;9416;3.64;15.877;--;3975;--;3340
cuts;9417;3.64;13.962;3052;--;1472;2172
darkest;9418;3.64;21.166;--;--;--;2027
delete;9419;3.64;14.813;3397;--;--;--
ghost;9420;3.64;20.777;2838;--;--;1346
miss;9421;3.64;16.258;309;1212;458;398
nobody;9422;3.64;12.415;1366;3419;2716;360
nothin;9423;3.64;16.507;2572;--;--;1219
shocked;9424;3.64;13.211;4046;--;--;--
swine;9425;3.64;18.379;2365;--;--;--
uncertainty;9426;3.64;10.451;--;4229;--;--
fooled;9427;3.63;17.992;--;--;--;2928
awkward;9428;3.62;13.981;3051;--;--;--
baghdad;9429;3.62;19.048;--;--;4067;--
begging;9430;3.62;19.472;--;--;--;2212
brat;9431;3.62;17.484;--;--;--;4217
doesn't;9432;3.62;11.045;--;--;--;--
haunt;9433;3.62;16.399;--;--;--;3058
hussein;9434;3.62;18.724;--;--;3548;--
incompletely;9435;3.62;16.769;--;--;3848;--
limitations;9436;3.62;13.536;--;3333;--;--
risk;9437;3.62;16.399;2269;947;1298;2844
tore;9438;3.62;16.523;--;--;--;2950
bacteria;9439;3.61;19.771;--;4195;--;--
crude;9440;3.6;14.428;--;--;3897;--
dust;9441;3.6;11.606;4277;3162;--;948
falls;9442;3.6;18.952;2309;2551;2162;1079
flies;9443;3.6;16.782;4675;--;--;1863
indicted;9444;3.6;18.626;--;--;4461;--
madness;9445;3.6;18.183;3901;--;--;1812
mistaken;9446;3.6;14.286;--;--;--;4414
shattered;9447;3.6;16.903;--;--;--;2389
suspects;9448;3.6;11.952;--;--;3929;--
acid;9449;3.59;15.535;--;865;--;3948
pistol;9450;3.59;18.953;--;--;--;2299
decreased;9451;3.58;13.966;--;3934;--;--
absence;9452;3.58;10.708;--;1464;3918;--
couldnt;9453;3.58;11.265;3237;--;--;4861
excluded;9454;3.58;15.398;--;4452;--;--
gossip;9455;3.58;19.282;1433;--;--;--
leaving;9456;3.58;12.792;980;1422;1528;674
punch;9457;3.58;17.967;2669;--;--;2813
shotgun;9458;3.58;18.745;--;--;--;3048
sirens;9459;3.58;14.995;--;--;--;4393
restricted;9460;3.57;15.143;--;3427;--;--
darkened;9461;3.57;15.990;--;--;--;4222
slut;9462;3.57;26.300;--;--;--;4071
servants;9463;3.56;16.999;--;3007;--;--
afghanistan;9464;3.56;17.861;4993;--;3152;--
confrontation;9465;3.56;16.922;--;--;4087;--
confusing;9466;3.56;0.9723;4800;--;--;4865
denial;9467;3.56;16.433;--;--;--;4371
empty;9468;3.56;16.308;2067;2549;3643;627
fucked;9469;3.56;27.117;1840;--;--;904
gloom;9470;3.56;21.205;--;--;--;4553
misidentified;9471;3.56;14.020;--;--;631;--
mob;9472;3.56;18.644;--;--;--;3347
